"RecordNo";"project_id";"mushrooms";"Awareness_score";"Usage_score";"Preference_score";"Familiarity_score";"FutureUsage_score";"Satisfaction_score"
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;5;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Boczniak";1;2;4;1;5;4
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;4;5;1;1
1135;1;"Pieczarka";2;2;5;5;1;1
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;4;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
1150;1;"Maœlak";2;4;5;4;5;3
